class,tweets,clean_text
0,I've been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!,ive barred b q stores lifethis twat orange dungerees came asked wanted decking got punch
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just knowyetunde sent money just sent text bother sending dont involve shouldnt imposed place apologise
1,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,free mobile video player free movie collect text 89105 free extra films ordered ts cs apply 18 yrs
0,So can collect ur laptop?,collect ur laptop
0,I'm home.,im home
1,3. You have received your mobile content. Enjoy,3 received mobile content enjoy
0,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",sorry vikky im watching olave mandara movie kano trishul theatre wit frnds
0,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?",u sound like manky scouse boy stevelike travelling da bus homewot u inmind 4 recreation dis eve
0,No message..no responce..what happend?,messageno responcewhat happend
0,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,day crab running sea shorethe waves came n cleared footprints crab crab asked frnd y r u clearing beautiful footprints waves replied fox following ur footprints catch thats y cleared frndsship lets u dwn gud nyt
0,Good night. Am going to sleep.,good night going sleep
1,network operator. The service is free. For T & C's visit 80488.biz,network operator service free t cs visit 80488biz
0,"I���ll leave around four, ok?",i���ll leave ok
0,Dear where you will be when i reach there,dear reach
0,"Yeah I should be able to, I'll text you when I'm ready to meet up",yeah able ill text im ready meet
0,Oh you got many responsibilities.,oh got responsibilities
0,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",alrite hunnywot u 2 2nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx
0,"Goodmorning, Today i am late for  &lt;#&gt; min.",goodmorning today late ltgt min
0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply
0,"I'm in a meeting, call me later at",im meeting later
0,Just finished. Missing you plenty,just finished missing plenty
1,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",pdatenow double mins 1000 txts orange tariffs latest motorola sonyericsson nokia bluetooth free mobileupd8 08000839402 call2optoutyhl
0,Sac will score big hundred.he is set batsman:-),sac score big hundredhe set batsman
0,Ok. How many should i buy.,ok buy
0,I like cheap! But i���m happy to splash out on the wine if it makes you feel better..,like cheap i���m happy splash wine makes feel better
0,Have a good evening! Ttyl,good evening ttyl
0,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,heart love mind wisdom eyes r dreams amp life frnds alwys touch good night amp sweet dreams
0,"Cool, text me when you're ready",cool text youre ready
0,Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,usually body takes care buy making sure doesnt progress pls continue talk saturday
0,Oh :-)only 4 outside players allowed to play know,oh 4 outside players allowed play know
0,No b4 Thursday,b4 thursday
0,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",haha legs neck killing amigos hoping end night burn think swing like hour
1,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,u know asked dating service 2 contact guess 09058091854 revealed po box385 m6 6wu
0,Si si. I think ill go make those oreo truffles.,si si think ill make oreo truffles
0,I can't describe how lucky you are that I'm actually awake by noon,lucky im actually awake noon
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
0,Can you say what happen,say happen
0,"So check your errors and if you had difficulties, do correction.",check errors difficulties correction
0,Ofcourse I also upload some songs,ofcourse upload songs
0,U dun say so early hor... U c already then say...,u dun say early hor u c say
0,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",poyyarikaturkolathupalayamunjalur posterode dis ltgt
0,K actually can you guys meet me at the sunoco on howard? It should be right on the way,k actually guys meet sunoco howard right way
0,"No my blankets are sufficient, thx",blankets sufficient thx
1,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",contacted dating service know mobile landline 09064017305 pobox75ldns7
0,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,hi darlin im helens fone im gonna b princes 2 nite come tb love kate
1,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",ou guaranteed latest nokia phone 40gb ipod mp3 player �500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18
0,Dont pick up d call when something important is There to tell. Hrishi,dont pick d important tell hrishi
0,Also remember to get dobby's bowl from your car,remember dobbys bowl car
0,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",k wen ur free come home tel vikky hav sent mail better come evening il free today aftr 6pm
0,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,dunno cos v late n reach inside ate spageddies lor e gals r laughing lor
0,Yes:)from last week itself i'm taking live call.,yesfrom week im taking live
0,Ok ill tell the company,ok ill tell company
0,Yup... From what i remb... I think should be can book... ,yup remb think book
1,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,sms services inclusive text credits pls gotto wwwcomuknet login 3qxj9 unsubscribe stop extra charge help 08702840625 comuk220cm2 9ae
0,Tell me again what your address is,tell address
0,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",wonderful okors great month cherish guys wish day mojibiola
0,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",remember hurt days satanic imposter meneed pay priceso itmay destiny going u said pray mind
0,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,kindly send flat ltdecimalgt today
0,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,congratulations ore mo owo wa enjoy wish happy moments fro
0,Wait . I will msg after  &lt;#&gt;  min.,wait msg ltgt min
0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,pleassssssseeeeee tel v avent sportsx
0,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,pleased inform application airtel broadband processed successfully installation happen 3 days
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,goodo yes speak friday eggpotato ratio tortilla needed
0,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,want sent ltgt mesages today thats y sorry hurts
0,I wont do anything de.,wont
0,That's y u haf 2 keep me busy...,thats y u haf 2 busy
0,"Hmph. Go head, big baller.",hmph head big baller
0,Probably earlier than that if the station's where I think it is,probably earlier stations think
0,So �_ pay first lar... Then when is da stock comin...,� pay lar da stock comin
0,1's reach home call me.,1s reach home
0,Armand says get your ass over to epsilon,armand says ass epsilon
0,Neshanth..tel me who r u?,neshanthtel r u
0,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",true passable high score apply phd 5years salary makes life easier
0,He says hi and to get your ass back to south tampa (preferably at a kegger),says hi ass south tampa preferably kegger
0,ILL B DOWN SOON,ill b soon
0,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",guess thats worried know theres way body repairs im quite sure shouldnt worry slow tests guide ovulation just relax youve said reason worry ill followin
1,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",spook mob halloween collection logo pic message plus free eerie tone txt card spook 8007 zed 08701417012150p logopic
0,"Ok omw now, you at castor?",ok omw castor
0,I thk 50 shd be ok he said plus minus 10.. Did �_ leave a line in between paragraphs?,thk 50 shd ok said plus minus 10 did � leave line paragraphs
0,"I don't think I can get away for a trek that long with family in town, sorry",dont think away trek long family town sorry
0,Yeah get the unlimited,yeah unlimited
0,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",im im sorry hope space gives want remember furniture im just lock locks leave key jenne
0,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ur changes 2 da report big cos ive changes 2 da previous report
0,"Hey , is * rite u put ��10 evey mnth is that all?",hey rite u ��10 evey mnth
0,Well its not like you actually called someone a punto. That woulda been worse.,like actually called punto woulda worse
0,"life alle mone,eppolum oru pole allalo",life alle moneeppolum oru pole allalo
0,Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,hi happy new year dont mean intrude pls let know tuition paid semester semester thanks
0,Hmm ill have to think about it... ok you're forgiven! =D,hmm ill think ok youre forgiven d
0,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",love brother time talk english grins say hey muhommad penny says hello sea
0,Got it. Seventeen pounds for seven hundred ml ��� hope ok.,got seventeen pounds seven ml ��� hope ok
0,Its too late:)but its k.wish you the same.,latebut kwish
0,Excellent! Wish we were together right now!,excellent wish right
0,Okie...,okie
0,Cos daddy arranging time c wat time fetch �_ mah...,cos daddy arranging time c wat time fetch � mah
0,Aight sorry I take ten years to shower. What's the plan?,aight sorry years shower whats plan
0,"Aight, I'll text you when I'm back",aight ill text im
1,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,free polyphonic ringtone text super 87131 free poly tone week 16 sn pobox202 nr31 7zs subscription 450pw
0,they released another Italian one today and it has a cosign option,released italian today cosign option
0,What you thinked about me. First time you saw me in class.,thinked time saw class
0,She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,just broke list reasons nobodys town tell shes sarcastic just faggy
0,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,boys fun today ok problem just sent message just fun
0,i am going to bed now prin,going bed prin
1,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,free msgwe billed mobile number mistake shortcode 83332please 08081263000 charges refundedthis free bt landline
1,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...,recpt 13 ordered ringtone order processed
0,There is no sense in my foot and penis.,sense foot penis
0,Yo! Howz u? girls never rang after india. L,yo howz u girls rang india l
0,K..give back my thanks.,kgive thanks
1,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or �10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",urgent 0906346330 abta complimentary 4 spanish holiday �10000 cash await collection sae tcs box 47 po19 2ez 150ppm 18
0,Its like that hotel dusk game i think. You solve puzzles in a area thing,like hotel dusk game think solve puzzles area thing
1,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their \suppliers\""",0anetworks allow companies sms responsible suppliers
0,"2 celebrate my b��day, y else?",2 celebrate b��day y
0,Well boy am I glad G wasted all night at applebees for nothing,boy glad g wasted night applebees
1,tells u 2 call 09066358152 to claim �5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,tells u 2 09066358152 claim �5000 prize u 2 enter ur mobile personal details prompts careful
0,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",said u mind bedroom minute ok sed sexy mood came 5 minuts latr wid caken wife
0,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",hows loverboy doing does keeps coming queen hmmm doesnt ache speak miss desparately
0,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!,omg want scream weighed lost weight woohoo
1,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",chance reality fantasy 08707509020 just 20p min ntt po box 1327 croydon cr9 5wb 0870 national rate
0,Wife.how she knew the time of murder exactly,wifehow knew time murder exactly
1,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,link picture sent use httpalto18coukwavewaveaspo44345
0,Do you want bold 2 or bb torch,want bold 2 bb torch
0,Wif my family booking tour package.,wif family booking tour package
0,Lol enjoy role playing much?,lol enjoy role playing
0,��_ and don���t worry we���ll have finished by march ��_ ish!,�� don���t worry we���ll finished march �� ish
1,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,important message final contact attempt important messages waiting customer claims dept expires 13404 08717507382
0,I wont touch you with out your permission.,wont touch permission
0,You will be in the place of that man,place man
0,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,valuable 2 situations getting second loosing
0,I'm serious. You are in the money base,im money base
0,i thought we were doing a king of the hill thing there.,thought doing king hill thing
0,But you were together so you should be thinkin about him,thinkin
0,"Hiya, had a good day? Have you spoken to since the weekend?",hiya good day spoken weekend
0,I am joining today formally.Pls keep praying.will talk later.,joining today formallypls prayingwill talk later
0,I know complain num only..bettr directly go to bsnl offc nd apply for it..,know complain num onlybettr directly bsnl offc nd apply
0,Then why no one talking to me,talking
1,You have WON a guaranteed �1000 cash or a �2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,won guaranteed �1000 cash �2000 prize claim yr prize customer service representative 08714712412 10am7pm cost 10p
0,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,pls make note shes exposed school vomiting dog cat house let know later
1,You have WON a guaranteed �1000 cash or a �2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,won guaranteed �1000 cash �2000 prize claim yr prize customer service representative 08714712379 10am7pm cost 10p
0,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",information ikea spelled caps yelling thought left sitting bed mess came said going got home class dont try bullshit makes want listen
0,"Sir, waiting for your letter.",sir waiting letter
0,Thats cool! I am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect
1,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,tried contact offer new video phone 750 anytime network mins half price rental camcorder 08000930705 reply delivery wed
0,I'm thinking that chennai forgot to come for auction..,im thinking chennai forgot come auction
0,Nite...,nite
0,Your daily text from me ��� a favour this time,daily text ��� favour time
0,Designation is software developer and may be she get chennai:),designation software developer chennai
0,Also remember the beads don't come off. Ever.,remember beads dont come
0,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,wishing beautiful day moment revealing things smiling enjoy
1,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",customer service announcement recently tried make delivery unable 07090298926 reschedule ref9307622
0,"K, can I pick up another 8th when you're done?",k pick 8th youre
0,No problem. Talk to you later,problem talk later
0,Remind me how to get there and I shall do so,remind shall
0,In which place do you want da.,place want da
0,Beerage?,beerage
0,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ha doing e thing got tv 2 watch u thk 2 tonight u haf smth mind
0,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that",sweet 4u meet carlos gauge pattys
0,Idea will soon get converted to live:),idea soon converted live
0,Unlimited texts. Limited minutes.,unlimited texts limited minutes
0,What happen to her tell the truth,happen tell truth
0,Only once then after ill obey all yours.,ill obey
0,That's y we haf to combine n c how lor...,thats y haf combine n c lor
0,Thats cool. Where should i cum? On you or in you? :),thats cool cum
0,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",did say fantastic chance need bigger life lift losing 2 live think person 2 die n v q
0,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,messagesome text missing sendername missing number missing sentdate missing missing u lot thats y missing sent fullonsmscom
0,No. I dont want to hear anything,dont want hear
0,So i could kiss and feel you next to me...,kiss feel
0,Oops i thk i dun haf enuff... I go check then tell �_..,oops thk dun haf enuff check tell �
0,Call him and say you not coming today ok and tell them not to fool me like this ok,say coming today ok tell fool like ok
0,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,future planned tomorrow result today best present enjoy future
1,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",realize 40 years thousands old ladies running tattoos
0,Happy birthday... May u find ur prince charming soon n dun work too hard...,happy birthday u ur prince charming soon n dun work hard
0,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,hello r u im bored inever thought id bored tv tell exciting happened
0,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,bought test yesterday lets know exact day u ovulatewhen 2u 2 3wks pls pls dont fret know u r worried pls relax ur past history u need tell
1,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p",contacted dating service entered phone becausethey fancy landline 09058098002 pobox1 w14rg 150p
0,That's cause your old. I live to be high.,thats cause old live high
0,"Haha, my friend tyler literally just asked if you could get him a dubsack",haha friend tyler literally just asked dubsack
0,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time ,just read shame tell takes runs blame u 4 really 4 just long time
0,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",ya im referin meis ex wat ah waitin 4 u treat somebody shld b rich liaoso gd den u dun work frm tmr onwards
0,Did you stitch his trouser,did stitch trouser
0,Mm feeling sleepy. today itself i shall get that dear,mm feeling sleepy today shall dear
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch str lor ard 3 smth lor u finish ur lunch
0,"Sorry, I'll call later",sorry ill later
0,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",yeah theres quite bit left ill swing tomorrow
1,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,free camera phones linerental 449month 750 cross ntwk mins 12 price txt bundle deals avble 08001950382 call2optoutj mf
0,Oh is it! Which brand?,oh brand
0,Yeah I can still give you a ride,yeah ride
0,That's significant but dont worry.,thats significant dont worry
0,No got new job at bar in airport on satsgettin 4.47per hour but means no lie in! keep in touch,got new job bar airport satsgettin 447per hour means lie touch
0,Did u find out what time the bus is at coz i need to sort some stuff out.,did u time bus coz need sort stuff
0,"Cool, want me to go to kappa or should I meet you outside mu",cool want kappa meet outside mu
0,"I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?",feel like dick sleeping texts facebook messages sup town
0,Ok,ok
0,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",wen ur lovable bcums angry wid u dnt seriously coz angry d childish n true way showing deep affection care n luv kettoda manda nice day da
0,7 at esplanade.. Do �_ mind giving me a lift cos i got no car today..,7 esplanade � mind giving lift cos got car today
0,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,u gd lor shopping got stuff u wan 2 watch infernal affairs come lar
0,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",think miss teaching til lecture damn working thing
0,Fuck cedar key and fuck her (come over anyway tho),fuck cedar key fuck come tho
0,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,leaving qatar tonite search opportunityall went fastpls add ur prayers dearrakhesh
0,As if i wasn't having enough trouble sleeping.,wasnt having trouble sleeping
0,How dare you change my ring,dare change ring
0,"Dear, will call Tmorrow.pls accomodate.",dear tmorrowpls accomodate
0,I liked the new mobile,liked new mobile
0,Mm that time you dont like fun,mm time dont like fun
1,Call FREEPHONE 0800 542 0578 now!,freephone 0800 542 0578
0,K.then any other special?,kthen special
0,here is my new address -apples&pairs&all that malarky,new address applespairsall malarky
0,I wanted to ask �_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,wanted ask � wait 4 finish lect cos lect finishes hour
0,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",people special sight remain special till sight maintain till life ends shjas
0,Sorry da thangam.it's my mistake.,sorry da thangamits mistake
0,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,request maangalyam alaipayuthe set callertune callers press 9 copy friends callertune
0,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",yo carlos friends asking working weekend
0,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,valentine game send dis msg ur friends 5 answers r d really loves u ques colour suits best
0,The hair cream has not been shipped.,hair cream shipped
1,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY �10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,hi 07734396839 ibh customer loyalty offer new nokia6600 mobile �10 txtauctiontxt wordstart no81151 now4t
0,"Could you not read me, my Love ? I answered you",read love answered
